"filename", "language", "Vue", "JavaScript", "JSON", "comment", "blank", "total"
"e:\project\multi_outcome\frontend\package.json", "JSON", 0, 0, 1, 0, 0, 1
"e:\project\multi_outcome\frontend\src\components\CausalAnalysisHistory.vue", "Vue", -7, 0, 0, -1, 0, -8
"e:\project\multi_outcome\frontend\src\components\DirectedGraphView.vue", "Vue", -1, 0, 0, 0, -1, -2
"e:\project\multi_outcome\frontend\src\plugin\charts.js", "JavaScript", 0, -5, 0, 0, 0, -5
"e:\project\multi_outcome\frontend\src\plugin\dagre\PreciseAlign.js", "JavaScript", 0, 3097, 0, 749, 590, 4436
"e:\project\multi_outcome\frontend\src\plugin\dagre\optimate.js", "JavaScript", 0, 2975, 0, 828, 556, 4359
"e:\project\multi_outcome\frontend\src\plugin\dagre\rankFixed.js", "JavaScript", 0, 3091, 0, 914, 579, 4584
"e:\project\multi_outcome\frontend\src\plugin\dagre\temp.js", "JavaScript", 0, -3116, 0, -862, -583, -4561
"e:\project\multi_outcome\frontend\src\plugin\extracted\CountPos.js", "JavaScript", 0, 16, 0, -11, -2, 3
"e:\project\multi_outcome\frontend\src\plugin\history.js", "JavaScript", 0, -14, 0, 1, 0, -13
"e:\project\multi_outcome\frontend\src\plugin\original\CountPos.js", "JavaScript", 0, -6, 0, 0, 1, -5
"e:\project\multi_outcome\frontend\src\plugin\request\edge.js", "JavaScript", 0, 0, 0, 0, -1, -1
"e:\project\multi_outcome\frontend\src\plugin\request\node.js", "JavaScript", 0, 13, 0, 3, 0, 16
"e:\project\multi_outcome\frontend\src\plugin\sonGraph.js", "JavaScript", 0, 129, 0, -1, 17, 145
"e:\project\multi_outcome\frontend\src\plugin\superGraph.js", "JavaScript", 0, 36, 0, 4, 14, 54
"e:\project\multi_outcome\frontend\src\plugin\tightened\CountPos.js", "JavaScript", 0, 24, 0, -2, 1, 23
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\AnchoredSuperGraph.vue", "Vue", 1, 0, 0, 0, 0, 1
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\ConstraintSubGraph.vue", "Vue", 761, 0, 0, 15, 27, 803
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\ExtractedSubGraph.vue", "Vue", -6, 0, 0, 0, 1, -5
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\MultipleDirectedGraph.vue", "Vue", 3, 0, 0, 0, 0, 3
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\OptimalSubGraph.vue", "Vue", 1, 0, 0, 0, -1, 0
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\OriginalSubGraph.vue", "Vue", 6, 0, 0, 0, 3, 9
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\SimpleDirectedGraph.vue", "Vue", 12, 0, 0, 0, 0, 12
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\SuperGraph.vue", "Vue", 87, 0, 0, 0, 1, 88
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\TightenedSubGraph.vue", "Vue", -2, 0, 0, -3, 4, -1
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\TreeSubGraph.vue", "Vue", 791, 0, 0, 10, 19, 820
"e:\project\multi_outcome\frontend\src\views\DirectedGraph\temp.vue", "Vue", 34, 0, 0, -8, 3, 29
"Total", "-", 1680, 6240, 1, 1636, 1228, 10785